30,66
Think about the order in which to take the coins
0,0,1
1,0,1
2,0,1
2,1,1
3,1,1
3,2,1
4,2,1
4,3,1
5,3,1
5,4,1
6,4,1
6,5,1
7,5,1
7,6,1
8,6,1
8,7,1
9,7,1
10,7,1
11,7,1
12,7,1
13,7,1
14,7,1
20,7,1
21,7,1
22,7,1
23,7,1
24,7,1
26,7,1
25,7,1
27,7,1
28,7,1
29,7,1
30,7,1
31,7,1
31,10,1
28,13,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
20,1,1
21,1,1
21,2,1
22,2,1
22,3,1
23,3,1
27,3,1
26,3,1
28,3,1
29,3,1
30,3,1
31,3,1
22,0,1
22,1,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
17,12,3
22,17,3
31,2,3
31,6,3
13,4,3
24,8,4
25,8,4
23,1,4
31,8,4
30,8,4
