49,91

0,0,1
1,0,1
2,0,1
4,0,1
3,0,1
5,0,1
6,0,1
6,1,1
10,3,1
11,3,1
13,3,1
14,3,1
12,3,1
18,1,1
18,0,1
19,0,1
21,0,1
22,0,1
20,0,1
23,0,1
24,0,1
25,0,1
27,0,1
29,0,1
30,0,1
28,0,1
31,0,1
26,0,1
26,3,1
27,3,1
28,3,1
29,3,1
30,3,1
31,3,1
29,6,1
30,6,1
31,6,1
26,9,1
24,9,1
25,9,1
23,9,1
22,9,1
22,10,1
19,13,1
20,13,1
18,13,1
17,13,1
16,13,1
15,13,1
15,14,1
13,17,1
12,17,1
11,17,1
10,17,1
8,17,1
7,17,1
9,17,1
4,11,1
3,11,1
2,11,1
1,11,1
0,11,1
12,5,3
0,13,3
17,17,3
31,2,3
21,1,4
20,1,4
19,1,4
10,18,4
9,18,4
4,12,4
3,12,4
