65,170

0,3,1
1,3,1
2,3,1
3,3,1
4,3,1
5,2,1
4,2,1
6,1,1
5,1,1
7,0,1
6,0,1
8,0,1
9,0,1
10,0,1
13,4,1
13,3,1
13,2,1
13,1,1
16,0,1
17,0,1
18,0,1
18,0,1
19,0,1
20,0,1
20,1,1
21,1,1
21,2,1
22,2,1
22,3,1
23,3,1
24,3,1
25,3,1
26,3,1
27,3,1
28,3,1
29,3,1
30,3,1
31,3,1
28,7,1
27,8,1
27,9,1
27,10,1
28,10,1
28,9,1
28,8,1
29,10,1
29,7,1
30,7,1
31,7,1
27,7,1
28,11,1
27,11,1
25,11,1
24,11,1
23,11,1
26,11,1
22,11,1
21,10,1
20,9,1
18,9,1
18,9,1
19,9,1
21,9,1
22,10,1
17,9,1
9,5,1
10,5,1
11,5,1
13,5,1
14,5,1
12,5,1
15,5,1
17,5,1
16,5,1
31,14,1
29,17,1
10,9,1
9,9,1
8,9,1
6,9,1
7,9,1
6,9,1
5,9,1
4,9,1
3,9,1
3,9,1
2,9,1
0,9,1
1,9,1
2,15,1
2,14,1
2,13,1
2,12,1
2,11,1
2,10,1
2,16,1
2,17,1
8,12,1
5,14,1
3,17,1
29,9,1
30,9,1
31,9,1
29,8,1
30,8,1
31,8,1
29,11,1
30,10,1
31,10,1
12,6,1
13,6,1
14,6,1
0,11,3
31,20,3
18,2,3
10,7,3
17,7,3
31,5,3
31,11,4
30,11,4
16,1,4
8,10,4
7,10,4
6,10,4
4,10,4
5,10,4
3,10,4
