54,90
Now let's the fun begin
0,0,1
1,0,1
2,0,1
3,0,1
4,1,1
4,0,1
9,1,1
9,0,1
10,0,1
10,1,1
11,0,1
11,1,1
12,1,1
13,1,1
13,0,1
12,0,1
14,0,1
16,0,1
15,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
30,0,1
31,0,1
17,4,1
18,4,1
19,4,1
19,5,1
20,5,1
21,5,1
23,5,1
22,5,1
24,5,1
27,3,1
28,3,1
29,3,1
29,4,1
28,2,1
28,1,1
29,2,1
29,1,1
25,5,1
26,5,1
28,4,1
27,4,1
30,1,3
22,9,3
13,5,3
27,2,3
22,6,4
14,1,4
